filename,identity_id,year,age,age_group,gender
face_images/img-id1144-object-1.png,Adult,4,4,Infant,Male
face_images/img-id953-object-1.png,Akouba,5,5,Infant,Female
face_images/img-id1282-object-1.png,Akrouba,5,5,Infant,Female
face_images/img-id959-object-1.png,Akrouba,5,5,Infant,Female
face_images/img-id952-object-1.png,Akrouba,5,5,Infant,Female
face_images/img-id1288-object-1.png,Akrouba,5,5,Infant,Female
face_images/img-id1264-object-1.png,Akrouba,5,5,Infant,Female
face_images/img-id1268-object-1.png,Akrouba,5,5,Infant,Female
face_images/img-id979-object-1.png,Akrouba,5,5,Infant,Female
face_images/img-id1063-object-1.png,Akrouba,5,5,Infant,Female
face_images/img-id1657-object-1.png,Akrouba,5,5,Infant,Female
face_images/img-id960-object-1.png,Akrouba,5,5,Infant,Female
face_images/img-id1283-object-1.png,Akrouba,5,5,Infant,Female
face_images/img-id1202-object-1.png,Akwaba,0,0,Infant,Male
face_images/img-id1063-object-2.png,Akwaba,0,0,Infant,Male
face_images/img-id1655-object-2.png,Akwaba,0,0,Infant,Male
face_images/img-id1676-object-1.png,Akwaba,0,0,Infant,Male
face_images/img-id785-object-2.png,Akwaba,0,0,Infant,Male
face_images/img-id1162-object-2.png,Akwaba,0,0,Infant,Male
face_images/img-id1201-object-2.png,Akwaba,0,0,Infant,Male
face_images/img-id1671-object-1.png,Akwaba,0,0,Infant,Male
face_images/img-id954-object-2.png,Akwaba,0,0,Infant,Male
face_images/img-id2497-object-1.png,Alina,3,3,Infant,Female
face_images/img-id1645-object-1.png,Athena,10,10,Juvenile,Female
face_images/img-id1641-object-1.png,Athena,10,10,Juvenile,Female
face_images/img-id823-object-1.png,Athena,10,10,Juvenile,Female
face_images/img-id1465-object-1.png,Athena,10,10,Juvenile,Female
face_images/img-id828-object-2.png,Athena,10,10,Juvenile,Female
face_images/img-id1451-object-1.png,Athena,10,10,Juvenile,Female
face_images/img-id3036-object-1.png,Atra,17,17,Adult,Female
face_images/img-id2496-object-1.png,Atra,17,17,Adult,Female
face_images/img-id3432-object-1.png,Atra,17,17,Adult,Female
face_images/img-id3437-object-1.png,Atra,17,17,Adult,Female
face_images/img-id1781-object-2.png,Baloo,0,0,Infant,Female
face_images/img-id2518-object-1.png,Besar,9,9,Juvenile,Male
face_images/img-id2656-object-1.png,Besar,9,9,Juvenile,Male
face_images/img-id909-object-1.png,Caramel,7,7,Juvenile,Male
face_images/img-id652-object-1.png,Caramel,8,8,Juvenile,Male
face_images/img-id1148-object-1.png,Caramel,7,7,Juvenile,Unknown
face_images/img-id2058-object-1.png,Caramel,8,8,Juvenile,Male
face_images/img-id359-object-1.png,Caramel,8,8,Juvenile,Male
face_images/img-id656-object-1.png,Caramel,8,8,Juvenile,Male
face_images/img-id908-object-1.png,Caramel,7,7,Juvenile,Male
face_images/img-id2046-object-1.png,Caramel,8,8,Juvenile,Male
face_images/img-id369-object-1.png,Caramel,8,8,Juvenile,Male
face_images/img-id2489-object-1.png,Celine,3,3,Infant,Female
face_images/img-id3885-object-1.png,Coco,18,18,Adult,Female
face_images/img-id2352-object-1.png,Coco,18,18,Adult,Female
face_images/img-id1628-object-1.png,Danane,1,1,Infant,Female
face_images/img-id1627-object-1.png,Diva,12,12,SubAdult,Female
face_images/img-id2811-object-1.png,Duna,24,24,Adult,Female
face_images/img-id2370-object-2.png,Duna,24,24,Adult,Female
face_images/img-id2815-object-2.png,Duna,24,24,Adult,Female
face_images/img-id2818-object-1.png,Duna,24,24,Adult,Female
face_images/img-id2261-object-1.png,Duna,24,24,Adult,Female
face_images/img-id2593-object-1.png,Duna,24,24,Adult,Female
face_images/img-id2760-object-1.png,Duna,24,24,Adult,Female
face_images/img-id2762-object-1.png,Duna,24,24,Adult,Female
face_images/img-id2271-object-1.png,Duna,24,24,Adult,Female
face_images/img-id2328-object-2.png,Endora,2,2,Infant,Female
face_images/img-id2478-object-1.png,Eva,21,21,Adult,Female
face_images/img-id2748-object-1.png,Eva,21,21,Adult,Female
face_images/img-id75-object-1.png,Fatima,12,12,SubAdult,Female
face_images/img-id3380-object-1.png,Gogol,7,7,Juvenile,Male
face_images/img-id3410-object-1.png,Gogol,7,7,Juvenile,Male
face_images/img-id2543-object-1.png,Haraka,23,23,Adult,Female
face_images/img-id2613-object-1.png,Haraka,23,23,Adult,Female
face_images/img-id2962-object-2.png,Haraka,23,23,Adult,Female
face_images/img-id2941-object-2.png,Haraka,23,23,Adult,Female
face_images/img-id2909-object-1.png,Haraka,23,23,Adult,Female
face_images/img-id3703-object-1.png,Haraka,23,23,Adult,Female
face_images/img-id2962-object-1.png,Huxel,1,1,Infant,Male
face_images/img-id2919-object-2.png,Huxel,1,1,Infant,Male
face_images/img-id2920-object-2.png,Huxel,1,1,Infant,Male
face_images/img-id2961-object-1.png,Huxel,1,1,Infant,Male
face_images/img-id466-object-2.png,Ibrahiim,10,10,Juvenile,Male
face_images/img-id387-object-1.png,Ibrahim,10,10,Juvenile,Male
face_images/img-id2153-object-1.png,Ibrahim,10,10,Juvenile,Male
face_images/img-id2317-object-1.png,Inousha,3,3,Infant,Male
face_images/img-id3005-object-2.png,Inousha,3,3,Infant,Male
face_images/img-id1939-object-1.png,Jacobo,12,12,SubAdult,Male
face_images/img-id574-object-1.png,Jacobo,12,12,SubAdult,Male
face_images/img-id575-object-1.png,Jacobo,12,12,SubAdult,Male
face_images/img-id1938-object-1.png,Jacobo,12,12,SubAdult,Male
face_images/img-id436-object-1.png,Java,7,7,Juvenile,Female
face_images/img-id2713-object-1.png,Kabisha,21,21,Adult,Female
face_images/img-id3361-object-1.png,Kabisha,21,21,Adult,Female
face_images/img-id3850-object-1.png,Kaos,21,21,Adult,Male
face_images/img-id3856-object-1.png,Kaos,21,21,Adult,Male
face_images/img-id2490-object-1.png,Kaos,21,21,Adult,Male
face_images/img-id3834-object-1.png,Kaos,21,21,Adult,Male
face_images/img-id2605-object-1.png,Kaos,21,21,Adult,Male
face_images/img-id3823-object-2.png,Kaos,21,21,Adult,Male
face_images/img-id3618-object-1.png,Kinshasa,8,8,Juvenile,Female
face_images/img-id1455-object-1.png,Kinshasa,19,19,Adult,Female
face_images/img-id2009-object-1.png,Kinshasa,20,20,Adult,Female
face_images/img-id1979-object-1.png,Kinshasa,20,20,Adult,Female
face_images/img-id2036-object-1.png,Kinshasa,20,20,Adult,Female
face_images/img-id2169-object-1.png,Kinshasa,20,20,Adult,Female
face_images/img-id1454-object-1.png,Kinshasa,19,19,Adult,Female
face_images/img-id597-object-1.png,Kinshasa,20,20,Adult,Female
face_images/img-id2035-object-1.png,Kinshasa,20,20,Adult,Female
